git_hash=55c2d9c;execution date=20240624_092201;;;
Cluster;Legal;Has Solution;Cluster Size;Max Length;Time;AccumulatedTime
0x10da37d879_1;0;0;0;-1;3.3e-07;345.312
0xfbbdbec10_1;0;0;0;-1;2.7e-07;345.314
0xa591f1989_0;0;0;0;-1;4.21e-07;345.315
0x6eea884ee_2;0;0;0;-1;2.71e-07;345.317
0x26f5dfc5_1;0;0;0;-1;5.11e-07;345.319
0x25e858531_2;0;0;0;-1;6.11e-07;345.321
0x12d6c376_0;0;0;0;-1;7.32e-07;345.324
0x8052441ec_0;0;0;0;-1;6.51e-07;345.326
0x1084be97f4_2;0;0;0;-1;5.31e-07;345.328
0xf43030a5_1;0;0;0;-1;2.51e-07;345.33
0xf2b76eb2d_2;0;0;0;-1;5.21e-07;345.332
0xefd4daf2e_0;0;0;0;-1;3.8e-07;345.333
0xc23cc7085_1;0;0;0;-1;5.51e-07;345.335
0xa74601270_1;0;0;0;-1;2.9e-07;345.337
0xdb88a2e2_1;0;0;0;-1;1.402e-06;345.339
0x4c392154e_0;0;0;0;-1;7.51e-07;345.342
0xc688024b7_2;0;0;0;-1;6.71e-07;345.344
0x90f7a8f32_2;0;0;0;-1;3.21e-07;345.345
0x4bcdb1e33_2;0;0;0;-1;4.41e-07;345.347
0xe74cd05cb_2;0;0;0;-1;4.11e-07;345.349
0x7f951fa3e_1;0;0;0;-1;4.81e-07;345.351
0x11095853cb_2;0;0;0;-1;6.11e-07;345.354
0x10bbe9971c_1;1;0;43;-1;1.663e-06;345.356
0x2ccf30dd8_0;0;0;0;-1;4.21e-07;345.358
0xc112d0c90_0;0;0;0;-1;5.01e-07;345.36
0x2cc061997_2;0;0;0;-1;5.21e-07;345.362
0xfcbaaa577_2;0;0;0;-1;4.1e-07;345.364
0x3f42fc6fb_1;0;0;0;-1;5.01e-07;345.365
0x5832fca80_2;0;0;0;-1;6.91e-07;345.367
0xc588a5364_1;0;0;0;-1;2.3e-07;345.369
0x55e25d039_2;0;0;0;-1;2.3e-07;345.371
0x43071e4f_0;0;0;0;-1;5.51e-07;345.373
0xa69a2fe69_0;0;0;0;-1;8.12e-07;345.376
0xbf15d5a43_1;0;0;0;-1;6.81e-07;345.378
0x8407d3f9e_0;0;0;0;-1;6.31e-07;345.38
0x1028a9e52e_1;0;0;0;-1;2.6e-07;345.382
0x6dacb2ab9_0;0;0;0;-1;6.31e-07;345.384
0x87164623e_1;0;0;0;-1;8.11e-07;345.386
0x599718c28_2;0;0;0;-1;5.61e-07;345.388
0x22ebed4a_1;0;0;0;-1;9.72e-07;345.39
0x1e3ef9255_0;0;0;0;-1;4.91e-07;345.392
0xaaecdc451_2;0;0;0;-1;5.71e-07;345.394
0xa29ccab98_1;0;0;0;-1;2.21e-07;345.396
0xcfcd957c7_2;0;0;0;-1;4.81e-07;345.398
0x1580b76fe_2;0;0;0;-1;3.01e-07;345.4
0xdc45cfc9c_0;0;0;0;-1;9.01e-07;345.402
0xaca01f0ac_0;0;0;0;-1;4.6e-07;345.404
0x5b097fde0_0;0;0;0;-1;5.71e-07;345.406
0x4a62f95e9_2;0;0;0;-1;9.12e-07;345.408
0xad7925a40_2;0;0;0;-1;8.91e-07;345.41
0x310a2c745_0;0;0;0;-1;5.41e-07;345.413
0xdee32617f_0;0;0;0;-1;7.41e-07;345.415
0xd9dd9fad1_0;0;0;0;-1;1.313e-06;345.417
0x347efb265_0;0;0;0;-1;1.152e-06;345.419
0xc8671b296_2;0;0;0;-1;4.31e-07;345.421
0xbb7216e12_1;0;0;0;-1;9.81e-07;345.423
0xb1dad7d01_2;0;0;0;-1;6.21e-07;345.425
0xf6d28c5d7_1;0;0;0;-1;2.234e-06;345.427
0x11444dc28e_0;0;0;0;-1;8.11e-07;345.429
0xaac507b28_0;0;0;0;-1;8.82e-07;345.431
0xfc19762f3_1;0;0;0;-1;6.22e-07;345.433
0x8be39ea1b_2;0;0;0;-1;5.61e-07;345.435
0x9fb5983bf_1;0;0;0;-1;4.31e-07;345.437
0xb75c80e46_1;0;0;0;-1;7.02e-07;345.439
0x3c60e53ef_2;0;0;0;-1;4.01e-07;345.441
0x7b7dd863_2;0;0;0;-1;7.72e-07;345.443
0xd347950f6_0;0;0;0;-1;5.91e-07;345.45
0x12f6bd5c5_2;0;0;0;-1;9.41e-07;345.453
0xab4d2e982_0;0;0;0;-1;1.162e-06;345.456
0x454bdc65b_1;0;0;0;-1;1.072e-06;345.459
0x883303af8_2;0;0;0;-1;8.71e-07;345.461
0x21fc4f92c_0;0;0;0;-1;7.52e-07;345.464
0x7f5e3238c_1;0;0;0;-1;9.92e-07;345.466
0xf6adf6502_1;0;0;0;-1;8.02e-07;345.469
0xcf3a4d92c_1;0;0;0;-1;1.112e-06;345.472
0x790a4a7ef_1;0;0;0;-1;5.31e-07;345.475
0x10bb7d8feb_0;0;0;0;-1;5.31e-07;345.477
0x9ee72adec_0;0;0;0;-1;3.41e-07;345.479
0xd87df8ffe_0;0;0;0;-1;8.61e-07;345.482
