git_hash=55c2d9c;execution date=20240625_134721;;;
Cluster;Legal;Has Solution;Cluster Size;Max Length;Time;AccumulatedTime
0x247d3f271_1;0;0;0;-1;3.51e-07;840.994
0x5994f453d_2;0;0;0;-1;3.1e-07;840.996
0x101daf9d60_2;0;0;0;-1;3.51e-07;840.998
0x123a5f3215_1;0;0;0;-1;2.01e-07;841
0x313abd2a5_1;0;0;0;-1;3.21e-07;841.001
0x21c0d630b_2;0;0;0;-1;2.5e-07;841.003
0x425ec16da_0;0;0;0;-1;3.01e-07;841.005
0x28a9c96dc_0;1;1;12480;20;10.0357;851.043
0x117fad8b15_0;0;0;0;-1;1.041e-06;851.045
0x306aecfde_1;0;0;0;-1;3.51e-07;851.046
0x10375fd3ca_2;0;0;0;-1;3.6e-07;851.048
0xa47e6234a_1;0;0;0;-1;2.3e-07;851.05
0xd29984359_0;0;0;0;-1;2.4e-07;851.052
0xb0973a0_2;0;0;0;-1;0.87957;851.933
0x6202354db_0;0;0;0;-1;3.01e-07;851.936
0x96e458a07_2;0;0;0;-1;4.2e-07;851.938
0x3272d0cd9_0;0;0;0;-1;3.11e-07;851.939
0xb861612e5_0;0;0;0;-1;2.2e-07;851.941
0x9ce3971ed_2;0;0;0;-1;7.11e-07;851.943
0xeedd1e3e4_0;0;0;0;-1;3.81e-07;851.945
0xf7df77a1d_1;0;0;0;-1;5.81e-07;851.947
0x65a45bec7_0;0;0;0;-1;3.71e-07;851.949
0x9ea45ed78_2;0;0;0;-1;2.61e-07;851.95
0x121100b279_2;0;0;0;-1;3.9e-07;851.952
0x749d97d7d_0;0;0;0;-1;3.81e-07;851.954
0x8b14604d1_1;0;0;0;-1;2.2e-07;851.956
0x206726a86_2;0;0;0;-1;1.91e-07;851.957
0x24bcffd4_1;1;1;9748;1;22.0798;874.039
0xcebd36f41_2;0;0;0;-1;8.62e-07;874.041
0xb8787a58b_0;0;0;0;-1;3.21e-07;874.043
0xd93e12eac_2;0;0;0;-1;1.9e-07;874.045
0xf0b5b2a09_0;0;0;0;-1;2.71e-07;874.046
0xb0712c8da_0;0;0;0;-1;3.1e-07;874.048
0xe3fb903cf_1;0;0;0;-1;2.86571;876.916
0x11263b85f6_0;0;0;0;-1;1.062e-06;876.919
0xe7821aeeb_1;0;0;0;-1;2.3e-07;876.921
0xc37234496_2;0;0;0;-1;3.31e-07;876.922
0x40e0b1620_1;0;0;0;-1;2.71e-07;876.924
0xde74b9178_0;0;0;0;-1;2.91e-07;876.926
0x2400940fd_1;0;0;0;-1;2.8e-07;876.927
0xc17eec234_2;0;0;0;-1;3.51e-07;876.929
0xecab17221_2;1;1;57693;22;127.795;1004.73
0x1040c987f1_0;0;0;0;-1;7.71e-07;1004.73
0x9d55792c1_2;0;0;0;-1;5.01e-07;1004.73
0x7642875a4_0;0;0;0;-1;2.9e-07;1004.73
0x49e001abe_0;0;0;0;-1;3.5e-07;1004.73
0x123b097953_1;0;0;0;-1;2e-07;1004.73
0xc275579d0_2;0;0;0;-1;3.1e-07;1004.74
0xc5dcdfbea_1;0;0;0;-1;2.7e-07;1004.74
0x4ed1325f4_0;0;0;0;-1;1.91e-07;1004.74
0x469b49ebc_1;0;0;0;-1;4.6e-07;1004.74
0x1f90fdcf4_0;0;0;0;-1;3.1e-07;1004.74
0xd9517929a_1;0;0;0;-1;2e-07;1004.75
0xb142f655f_0;0;0;0;-1;2.01e-07;1004.75
0x108adc7a5f_1;0;0;0;-1;3.2e-07;1004.75
0x969efbb71_0;0;0;0;-1;2.8e-07;1004.75
0x5c8137a9c_2;0;0;0;-1;1.934e-06;1004.75
0x8624f8f18_0;0;0;0;-1;3.81e-07;1004.75
0x11a0dd8cb9_0;1;1;371551;79;330.688;1335.44
0x11f46b9be5_0;0;0;0;-1;8.01e-07;1335.45
0x8c10d6835_1;0;0;0;-1;2.91e-07;1335.45
0x2edeaff7e_1;0;0;0;-1;2.91e-07;1335.45
0xb09ed93fd_0;0;0;0;-1;3.91e-07;1335.45
0x811c72baa_0;0;0;0;-1;4.01e-07;1335.45
0xb2ebcd07a_2;0;0;0;-1;2.81e-07;1335.46
0xaf3caa765_2;0;0;0;-1;2.8e-07;1335.46
0xc8b626633_1;0;0;0;-1;1.81e-07;1335.46
0x829fef0e7_1;0;0;0;-1;2.41e-07;1335.46
0x878093328_0;0;0;0;-1;3.4e-07;1335.46
0xe57959501_0;0;0;0;-1;2.61e-07;1335.46
0xfdc3a52cb_0;0;0;0;-1;3.01e-07;1335.47
0x731c8a6b5_0;0;0;0;-1;2.6e-07;1335.47
0x240cef5dc_1;0;0;0;-1;1.91e-07;1335.47
0xabc780907_1;0;0;0;-1;2.5e-07;1335.47
0x11233bf581_0;0;0;0;-1;4.11e-07;1335.47
0x1a13d9c8a_1;0;0;0;-1;1.9e-07;1335.48
0x3d4734517_0;0;0;0;-1;3.4e-07;1335.48
0xed3da677b_0;0;0;0;-1;3.31e-07;1335.48
0xd588daf2b_2;0;0;0;-1;6.05593;1341.54
0x7584b86f6_2;0;0;0;-1;9.82e-07;1341.54
0xb1af8453e_1;0;0;0;-1;2e-07;1341.54
0x5419c7ac7_2;0;0;0;-1;2.7e-07;1341.54
0x6efa1cfc9_0;0;0;0;-1;3.21e-07;1341.55
0xa3dbcf0bd_0;0;0;0;-1;2.01e-07;1341.55
0x9853259e7_0;0;0;0;-1;3.2e-07;1341.55
0xf0b65b7b8_0;0;0;0;-1;1.9e-07;1341.55
0xbd3b85a0c_2;0;0;0;-1;2.81e-07;1341.55
0x535949576_1;0;0;0;-1;2.91e-07;1341.55
0x5d94db5ec_2;0;0;0;-1;3.41e-07;1341.56
0x385b37adf_1;0;0;0;-1;3.21e-07;1341.56
0x156a0a0ea_0;0;0;0;-1;3.7e-07;1341.56
0xf91e39ee1_2;0;0;0;-1;5.41e-07;1341.56
0xa20cbac41_0;0;0;0;-1;7.22e-07;1341.56
0x317d82f0c_2;0;0;0;-1;2.91e-07;1341.56
0xadd175567_1;0;0;0;-1;1.9e-07;1341.57
0x4b8e6d421_1;0;0;0;-1;2e-07;1341.57
0xc4ed051e4_1;0;0;0;-1;2e-07;1341.57
0xda3ca058f_1;0;0;0;-1;4.41e-07;1341.57
0x954a768e2_0;0;0;0;-1;4.71e-07;1341.57
0x123e4d742c_0;0;0;0;-1;5.61e-07;1341.58
0x4dc1a31d4_1;0;0;0;-1;6.51e-07;1341.58
0xcbe203165_2;0;0;0;-1;7.21e-07;1341.58
0xdcb879a32_1;0;0;0;-1;5.41e-07;1341.58
0x93d9ca391_0;0;0;0;-1;4.71e-07;1341.58
0xef9f80163_0;0;0;0;-1;3.61e-07;1341.58
0xbe298b5a3_2;0;0;0;-1;2.31e-07;1341.59
0x11be03bc8e_2;0;0;0;-1;3.5e-07;1341.59
0x4f519fb0a_1;0;0;0;-1;3.81e-07;1341.59
0x5a1c52044_1;0;0;0;-1;63.8902;1405.48
0xc67527098_2;0;0;0;-1;8.41e-07;1405.48
0x5a6d3bd50_2;0;0;0;-1;2.1e-07;1405.49
0x1157d56dbd_1;0;0;0;-1;3.11e-07;1405.49
0x132ee3159_1;0;0;0;-1;0.112602;1405.6
0x1014fb7868_0;0;0;0;-1;1.182e-06;1405.6
0x2085efe6f_0;0;0;0;-1;3.31e-07;1405.61
0x162bf2243_2;0;0;0;-1;2.11e-07;1405.61
0x923cbd8c0_1;0;0;0;-1;2.01e-07;1405.61
0x69a3b4dd2_2;0;0;0;-1;3.4e-07;1405.61
0x13a2fe1c9_0;0;0;0;-1;2.81e-07;1405.61
0x1596f4c44_1;0;0;0;-1;9.31e-07;1405.62
0x7b5b3f0e3_1;0;0;0;-1;3.21e-07;1405.62
0x117056bd78_0;0;0;0;-1;2.91e-07;1405.62
0xf97ee2b41_1;0;0;0;-1;3.31e-07;1405.62
0xc886069cd_0;0;0;0;-1;2e-07;1405.62
0xbdea89c81_0;0;0;0;-1;3.1e-07;1405.62
0x4638b5c58_1;0;0;0;-1;2.9e-07;1405.63
0xb96f7e972_0;0;0;0;-1;2.9e-07;1405.63
0xc9e2e382b_2;0;0;0;-1;2.01e-07;1405.63
0x1932ff59a_0;0;0;0;-1;3.11e-07;1405.63
0x733976481_1;0;0;0;-1;3.51e-07;1405.63
0x110dafc518_2;0;0;0;-1;2.3e-07;1405.63
0x3eac7baad_0;0;0;0;-1;4.11e-07;1405.64
0x120915691a_0;0;0;0;-1;2.8e-07;1405.64
0xf32e380c_0;0;0;0;-1;3e-07;1405.64
0x67e9e365_1;0;0;0;-1;3.2e-07;1405.64
0x76ca78769_1;0;0;0;-1;2.71e-07;1405.64
0xc4b99daef_0;0;0;0;-1;2.01e-07;1405.65
0xe32d021c5_0;1;1;3707;6;9.28188;1414.93
0xe11ac4acb_2;0;0;0;-1;8.21e-07;1414.93
0x3ef3880e4_1;0;0;0;-1;4.71e-07;1414.93
0x119aa65032_1;0;0;0;-1;1.8e-07;1414.94
0xca6e411e8_0;1;0;3167;-1;10.43;1425.37
0x7af11beb9_0;0;0;0;-1;6.12e-07;1425.37
0x226ce973e_0;0;0;0;-1;4.71e-07;1425.37
0x25df4524d_2;0;0;0;-1;3.3e-07;1425.37
0xdbdc54985_1;0;0;0;-1;2.8e-07;1425.37
0x56a0d3741_2;0;0;0;-1;3.51e-07;1425.38
0xee43437ae_1;0;0;0;-1;2.01e-07;1425.38
0x8f37e411f_1;0;0;0;-1;4.21e-07;1425.38
0x2572007c3_2;0;0;0;-1;7.51e-07;1425.38
0x53558a445_1;0;0;0;-1;6.21e-07;1425.38
0xb1263c6a0_0;0;0;0;-1;2.6e-07;1425.39
0x915a49418_1;0;0;0;-1;4.5e-07;1425.39
